Id	Description	Qty	Unit	Designators
1	Cable, Battery Cable, 1 x 2 AWG	8	m	W1, W2, W3
2	Cable, Marine Wire, 1 x 10 AWG	7	m	W4, W5, W6, W7
3	Cable, Marine Wire, 1 x 16 AWG	4	m	W14, W15, W16, W17
4	Cable, Marine Wire, 2 x 14 AWG	12	m	W13, W18, W8, W9
5	Cable, Marine Wire, 2 x 18 AWG	3	m	W10
6	Cable, Marine Wire, 5 x 22 AWG	15	m	W11, W12, W19, W20, W21
7	Connector, Battery Switch, ON/OFF/COMBINE, 4 pins	1		BAT_SW
8	Connector, Battery, House Bank, 2 pins	1		BATT
9	Connector, Bus Bar, Negative Distribution, 8 pins	3		DP1_NEG_BUS, DP2_NEG_BUS, NEG_BUS
10	Connector, Bus Bar, Positive Distribution, 4 pins	1		POS_BUS
11	Connector, Connector, Hydraulic Ram, 4 pins	1		AUTOPILOT_RAM_PORT
12	Connector, Connector, NKE Electronics, 13 pins	2		NKE_BOX_1, NKE_BOX_2
13	Connector, Distribution Panel, 8-Position Panel, 9 pins	2		DP1, DP2
14	Connector, Fuse, 2 pins	2		FUSE_RAM_1, FUSE_RAM_2
15	Connector, Load, Autopilot, 9 pins	1		NKE_GYROPILOT_PORT
16	Connector, Load, DC-DC Converter, 4 pins	1		12-12_CONV
17	Connector, Load, Display, 5 pins	2		NKE_MULTIGRAPHIC, NKE_MULTIGRAPHIC_2
18	Connector, Load, Lighting, 2 pins	1		CABIN_LIGHTS
19	Connector, Switch, DPDT, 6 pins	1		DPDT_SWITCH
